product_name,price,product_url,image_url,category_name
EL GÜLÜ DÜZ 12’Lİ BORDO,"100,00₺",https://istockina.com/urun/el-gulu-duz-12li-bordo/,https://istockina.com/wp-content/uploads/2025/10/EL-GULU-BORDO-768x1152.jpg,Kina Malzemeleri
EL GÜLÜ DÜZ 12’Lİ KIRMIZI,"100,00₺",https://istockina.com/urun/el-gulu-duz-12li-kirmizi/,https://istockina.com/wp-content/uploads/2025/10/EL-GULU-KIRMIZI-768x1152.jpg,Kina Malzemeleri
MOR ÖRGÜLÜ GELİN KEMERİ,"20,00₺",https://istockina.com/urun/mor-orgulu-gelin-kemeri/,https://istockina.com/wp-content/uploads/2025/10/MOR-ORGULU-GELIN-KEMERI-768x1152.jpg,Kina Malzemeleri
FUŞYA ÖRGÜLÜ TAŞLI GELİN KEMERİ,"20,00₺",https://istockina.com/urun/fusya-orgulu-tasli-gelin-kemeri/,https://istockina.com/wp-content/uploads/2025/10/fusya-orgulu-gelin-kemeri-768x1152.jpg,Kina Malzemeleri
PEMBE ÖRGÜLÜ GELİN KEMERİ,"20,00₺",https://istockina.com/urun/pembe-orgulu-gelin-kemeri/,https://istockina.com/wp-content/uploads/2025/10/pembe-orgulu-gelin-kemeri-768x1152.jpg,Kina Malzemeleri
MOR ÖRGÜLÜ TAŞLI GELİN KEMERİ,"20,00₺",https://istockina.com/urun/mor-orgulu-tasli-gelin-kemeri/,https://istockina.com/wp-content/uploads/2025/10/mor-orgulu-tasli-gelin-kemeri-768x1152.jpg,Kina Malzemeleri
BORDO APLİKLİ SEPET TAKIMI,"1.100,00₺",https://istockina.com/urun/bordo-aplikli-sepet-takimi/,https://istockina.com/wp-content/uploads/2025/10/bordo-aplikli-sepet-takimi-768x1152.jpg,Kina Malzemeleri
KIRMIZI APLİKLİ SEPET TAKIMI,"1.100,00₺",https://istockina.com/urun/kirmizi-aplikli-sepet-takimi/,https://istockina.com/wp-content/uploads/2025/10/KIRMIZI-APLIKLI-SEPET-TAKIMI-768x1152.jpg,Kina Malzemeleri
TEKLİ ALIM BORDO EL GÜLÜ MUMLU 12’Lİ,"50,00₺",https://istockina.com/urun/tekli-alim-bordo-el-gulu-mumlu-12li/,https://istockina.com/wp-content/uploads/2025/10/BORDO-EL-GULU-MUMLU-768x1152.jpg,Kina Malzemeleri
TEKLİ ALIM KIRMIZI EL GÜLÜ MUMLU 12’Lİ,"50,00₺",https://istockina.com/urun/tekli-alim-kirmizi-el-gulu-mumlu-12li/,https://istockina.com/wp-content/uploads/2025/10/KIRMIZI-EL-GULU-MUMLU-768x1152.jpg,Kina Malzemeleri
TÜL ÇEREZ KESESİ 9X12 CM KIRMIZI,"155,00₺",https://istockina.com/urun/tul-cerez-kesesi-9x12-cm-kirmizi/,https://istockina.com/wp-content/uploads/2025/10/9X12-TUL-CEREZ-KESESI-768x1152.jpg,Kina Malzemeleri
KELEBEK KINA 50’Lİ,"68,00₺",https://istockina.com/urun/kelebek-kina-50li/,https://istockina.com/wp-content/uploads/2025/10/KELEBEK-KINA-50LI-768x1152.jpg,Kina Malzemeleri
PLASTİK LEOPAR DESENLİ YELPAZE 12’Lİ,"25,00₺",https://istockina.com/urun/plastik-leopar-desenli-yelpaze-12li/,https://istockina.com/wp-content/uploads/2025/10/LEOPAR-DESENLI-YELPAZE-768x1152.jpg,Kina Malzemeleri
10 KĞ KOLİ BAZLI 500 GR EKONOMİK KURU KINA,"67,50₺",https://istockina.com/urun/10-kg-koli-bazli-500-gr-ekonomik-kuru-kina/,https://istockina.com/wp-content/uploads/2025/10/500-GR-KURU-KINA-768x1152.jpg,Kina Malzemeleri
10 KĞ KOLİ BAZLI 250 GR EKONOMİK KURU KINA,"33,75₺",https://istockina.com/urun/10-kg-koli-bazli-250-gr-ekonomik-kuru-kina/,https://istockina.com/wp-content/uploads/2025/10/250-GR-KINA-768x1152.jpg,Kina Malzemeleri
